"General","Generale"
"Enable easy tabs","Attiva easy flags"
"Check items to add to the cart or","Controlla oggetti da aggiungere al carrello o"
"Add to Wishlist","Aggiungi alla Lista dei Desideri"
"Review by %s","Recensione di %s"
"(Posted on %s)","(Pubblicato su %s)"
"Other people marked this product with these tags:","Altre persone hanno marcato il prodotto con queste tag:"
"Add Your Tags:","Aggiungi le Tue Tag:"
"Add Tags","Aggiungi Tag"
"Use spaces to separate tags. Use single quotes (') for phrases.","Usa gli spazi per separare le tag. usa gli apici (') per le frasi."
"Email to a Friend","Invia una Email ad un amico"
