"General","Geral"
"Enable easy tabs","Permitir bandeiras fáceis"
"Check items to add to the cart or","Verifique itens para adicionar ao carrinho ou"
"Add to Wishlist","Adicionar à lista de desejos"
"Review by %s","Revisado por %s"
"(Posted on %s)","(Postado em %s)"
"Other people marked this product with these tags:","Outras pessoas marcaram este produto com estas tags:"
"Add Your Tags:","Add Suas Tags:"
"Add Tags","Add Tags"
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar tags. Use aspas simples (') para frases."
"Email to a Friend","E-mail para um amigo"
